test_name,scheduler,matrix_size,num_blocks,measurement,section,value,unit
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,compute_time,,0.0,s
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,max_rss_mb,,4.75,MB
08-sift_regression_vf-omp_image_size_512,vf-omp,,,compute_time,,0.0,s
08-sift_regression_vf-omp_image_size_512,vf-omp,,,max_rss_mb,,4.75,MB
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.interp,28,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.note.ABI-tag,32,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.dynsym,312,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.gnu.version,26,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.gnu.version_r,96,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.gnu.hash,28,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.dynstr,560,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.rela.dyn,264,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.rela.plt,168,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.rodata,181,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.eh_frame_hdr,68,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.eh_frame,192,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.text,654,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.init,27,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.fini,13,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.plt,128,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.data.rel.ro,8,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.fini_array,8,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.init_array,24,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.dynamic,528,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.got,48,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.relro_padding,4088,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.tm_clone_table,0,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.got.plt,80,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.bss,80,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.comment,248,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.annobin.notes,249,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,.gnu.build.attributes,324,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,section_size,Total,8462,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.interp,28,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.note.ABI-tag,32,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.dynsym,312,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.gnu.version,26,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.gnu.version_r,96,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.gnu.hash,28,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.dynstr,560,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.rela.dyn,240,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.rela.plt,168,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.rodata,181,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.eh_frame_hdr,52,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.eh_frame,152,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.text,590,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.init,27,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.fini,13,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.plt,128,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.data.rel.ro,8,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.fini_array,8,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.init_array,16,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.dynamic,528,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.got,48,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.relro_padding,144,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.tm_clone_table,0,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.got.plt,80,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.bss,56,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.comment,248,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.annobin.notes,249,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,.gnu.build.attributes,324,bytes
08-sift_regression_vf-omp_image_size_512,vf-omp,,,section_size,Total,4342,bytes
08-sift_regression_vf-enkits_image_size_512,vf-enkits,,,binary_compilation_time,,3.0,s
08-sift_regression_vf-omp_image_size_512,vf-omp,,,binary_compilation_time,,4.0,s
