config_name,text_size,data_size,bss_size,total_size
2048_1_sequential,3448,144,40,36184
2048_1_omp-task,3443,144,40,36080
2048_1_virtual-fifo,16467,1376,48,729352
2048_2_sequential,5145,144,40,41640
2048_2_omp-task,4951,144,40,41024
2048_2_virtual-fifo,18323,6456,48,752144
2048_4_sequential,10979,144,40,52320
2048_4_omp-task,11016,144,40,52368
2048_4_virtual-fifo,26307,34976,48,861688
2048_8_sequential,7104,144,40,45744
2048_8_omp-task,7129,144,40,45792
2048_8_virtual-fifo,33843,214512,48,1469432
2048_16_sequential,21406,144,40,64096
2048_16_omp-task,21437,144,40,64144
2048_16_virtual-fifo,122227,1456016,48,5723680
2048_32_sequential,5991,144,40,45160
2048_32_omp-task,6016,144,40,45224
4096_1_sequential,3448,144,40,36192
4096_1_omp-task,3443,144,40,36080
4096_1_virtual-fifo,16467,1376,48,729360
4096_2_sequential,5145,144,40,41640
4096_2_omp-task,4951,144,40,41032
4096_2_virtual-fifo,18323,6456,48,752144
4096_4_sequential,10979,144,40,52320
4096_4_omp-task,11016,144,40,52368
4096_4_virtual-fifo,26307,34976,48,861800
4096_8_sequential,7120,144,40,45760
4096_8_omp-task,7145,144,40,45808
4096_8_virtual-fifo,33859,214512,48,1470760
4096_16_sequential,10333,144,40,49832
4096_16_omp-task,10370,144,40,49896
4096_16_virtual-fifo,111155,1456016,48,5709424
4096_32_sequential,6476,144,40,44600
4096_32_omp-task,6501,144,40,44688
6144_1_sequential,3454,144,40,36200
6144_1_omp-task,3449,144,40,36096
6144_1_virtual-fifo,16483,1376,48,729368
6144_2_sequential,5167,144,40,41376
6144_2_omp-task,4973,144,40,40784
6144_2_virtual-fifo,18355,6456,48,751896
6144_4_sequential,10361,144,40,49608
6144_4_omp-task,10398,144,40,49656
6144_4_virtual-fifo,25683,34976,48,859080
6144_8_sequential,7236,144,40,45456
6144_8_omp-task,7261,144,40,45488
6144_8_virtual-fifo,33971,214512,48,1470432
6144_16_sequential,10905,144,40,50024
6144_16_omp-task,10942,144,40,50072
6144_16_virtual-fifo,111715,1456016,48,5755184
6144_32_sequential,5711,144,40,43256
6144_32_omp-task,5736,144,40,43336
8192_1_sequential,3448,144,40,36192
8192_1_omp-task,3443,144,40,36088
8192_1_virtual-fifo,16467,1376,48,729360
8192_2_sequential,5145,144,40,41648
8192_2_omp-task,4951,144,40,41032
8192_2_virtual-fifo,18323,6456,48,752168
8192_4_sequential,10979,144,40,52328
8192_4_omp-task,11016,144,40,52384
