matrix_size,num_blocks,block_size,block_memory,scheduler,wall_time,real_time,max_rss_kb,run_number,timestamp
2048,1,2048,33554432,sequential,0.056382,0.3,80520,0,2025-11-11T16:12:02.845779
2048,1,2048,33554432,sequential,0.056829,0.31,79268,1,2025-11-11T16:12:04.879623
2048,1,2048,33554432,sequential,0.057628,0.26,80296,2,2025-11-11T16:12:08.921706
2048,1,2048,33554432,sequential,0.056517,0.26,79472,3,2025-11-11T16:12:10.955690
2048,1,2048,33554432,sequential,0.056088,0.29,79832,4,2025-11-11T16:12:12.988952
2048,1,2048,33554432,omp-task,0.134439,0.36,151548,0,2025-11-11T16:12:17.057106
2048,1,2048,33554432,omp-task,0.1343,0.36,154396,1,2025-11-11T16:12:21.099373
2048,1,2048,33554432,omp-task,0.134282,0.36,149808,2,2025-11-11T16:12:23.132824
2048,1,2048,33554432,omp-task,0.134357,0.34,151004,3,2025-11-11T16:12:27.173992
2048,1,2048,33554432,omp-task,0.133993,0.38,151008,4,2025-11-11T16:12:31.216099
2048,1,2048,33554432,virtual-fifo,0.147523,0.37,185976,0,2025-11-11T16:12:41.308368
2048,1,2048,33554432,virtual-fifo,0.147802,0.36,188444,1,2025-11-11T16:12:43.342376
2048,1,2048,33554432,virtual-fifo,0.147345,0.35,188748,2,2025-11-11T16:12:47.384572
2048,1,2048,33554432,virtual-fifo,0.120187,0.35,180624,3,2025-11-11T16:12:49.417351
2048,1,2048,33554432,virtual-fifo,0.147178,0.36,184128,4,2025-11-11T16:12:51.450586
2048,2,1024,8388608,sequential,0.053978,0.28,76416,0,2025-11-11T16:12:57.525841
2048,2,1024,8388608,sequential,0.054181,0.28,76904,1,2025-11-11T16:12:59.561740
2048,2,1024,8388608,sequential,0.054482,0.26,76604,2,2025-11-11T16:13:03.604223
2048,2,1024,8388608,sequential,0.053714,0.3,76724,3,2025-11-11T16:13:05.638142
2048,2,1024,8388608,sequential,0.054436,0.26,77100,4,2025-11-11T16:13:09.680641
2048,2,1024,8388608,omp-task,0.158553,0.37,159828,0,2025-11-11T16:13:15.756054
